comuna,year,desertores_anterior,matricula,tasa_incidencia,percent_incidencia,,
VICTORIA,2013,172,6,209,0.03,2.77017233,
PUERTO MONTT,2013,1,794,44,965,4.0%,
CALBUCO,2013,229,6,107,3.7%,,
COCHAMO,2013,25,575,4.3%,,,
FRESIA,2013,72,2,308,3.1%,,
FRUTILLAR,2013,104,3,499,3.0%,,
LOS MUERMOS,2013,116,3,356,3.5%,,
LLANQUIHUE,2013,100,2,596,3.9%,,
MAULLIN,2013,69,2,155,3.2%,,
PUERTO VARAS,2013,279,8,430,3.3%,,
CASTRO,2013,263,9,881,2.7%,,
ANCUD,2013,446,8,391,5.3%,,
CHONCHI,2013,130,3,41,4.3%,,
CURACO DE VELEZ,2013,29,701,4.1%,,,
DALCAHUE,2013,85,2,208,3.8%,,
PUQUELDON,2013,3,456,0.7%,,,
QUEILEN,2013,23,896,2.6%,,,
QUELLON,2013,168,5,220,3.2%,,
QUEMCHI,2013,29,1,306,2.2%,,
QUINCHAO,2013,66,2,1,3.3%,,
OSORNO,2013,1,23,30,674,3.3%,
PUERTO OCTAY,2013,63,1,600,3.9%,,
PURRANQUE,2013,132,3,793,3.5%,,
PUYEHUE,2013,66,2,18,3.3%,,
RIO NEGRO,2013,67,2,117,3.2%,,
SAN JUAN DE LA COSTA,2013,70,1,355,5.2%,,
SAN PABLO,2013,106,1,635,6.5%,,
CHAITEN,2013,19,692,2.7%,,,
FUTALEUFU,2013,8,433,1.8%,,,
HUALAIHUE,2013,46,1,842,2.5%,,
PALENA,2013,7,341,2.1%,,,
COIHAIQUE,2013,447,11,382,3.9%,,
LAGO VERDE,2013,3,97,3.1%,,,
AISEN,2013,212,4,515,4.7%,,
CISNES,2013,20,915,2.2%,,,
GUAITECAS,2013,2,258,0.8%,,,
COCHRANE,2013,29,638,4.5%,,,
O'HIGGINS,2013,3,69,4.3%,,,
TORTEL,2013,0,77,0.0%,,,
CHILE CHICO,2013,26,849,3.1%,,,
RIO IBA�EZ,2013,9,276,3.3%,,,
PUNTA ARENAS,2013,565,21,871,2.6%,,
LAGUNA BLANCA,2013,0,40,0.0%,,,
RIO VERDE,2013,0,3,0.0%,,,
SAN GREGORIO,2013,0,31,0.0%,,,
CABO DE HORNOS,2013,12,396,3.0%,,,
ANTARTICA,2013,0,6,0.0%,,,
PORVENIR,2013,25,967,2.6%,,,
PRIMAVERA,2013,0,69,0.0%,,,
TIMAUKEL,2013,0,12,0.0%,,,
NATALES,2013,83,3,516,2.4%,,
TORRES DEL PAINE,2013,1,35,2.9%,,,
SANTIAGO,2013,3,212,78,423,4.1%,
CERRILLOS,2013,384,11,809,3.3%,,
CERRO NAVIA,2013,576,14,555,4.0%,,
CONCHALI,2013,531,16,862,3.1%,,
EL BOSQUE,2013,1,31,30,576,3.4%,
ESTACION CENTRAL,2013,787,20,508,3.8%,,
HUECHURABA,2013,306,11,155,2.7%,,
INDEPENDENCIA,2013,915,18,807,4.9%,,
LA CISTERNA,2013,1,427,27,615,5.2%,
LA FLORIDA,2013,2,149,67,826,3.2%,
LA GRANJA,2013,535,16,582,3.2%,,
LA PINTANA,2013,1,256,31,574,4.0%,
LA REINA,2013,474,18,752,2.5%,,
LAS CONDES,2013,1,48,37,172,2.8%,
LO BARNECHEA,2013,480,16,476,2.9%,,
LO ESPEJO,2013,357,9,805,3.6%,,
LO PRADO,2013,304,9,894,3.1%,,
MACUL,2013,451,13,79,3.4%,,
MAIPU,2013,2,428,87,410,2.8%,
ÑUÑOA,2013,1,457,35,929,4.1%,
PEDRO AGUIRRE CERDA,2013,391,12,569,3.1%,,
PE�ALOLEN,2013,1,38,31,821,3.3%,
PROVIDENCIA,2013,628,29,981,2.1%,,
PUDAHUEL,2013,915,29,187,3.1%,,
QUILICURA,2013,961,35,572,2.7%,,
QUINTA NORMAL,2013,1,79,22,586,4.8%,
RECOLETA,2013,1,283,27,242,4.7%,
RENCA,2013,717,21,236,3.4%,,
SAN JOAQUIN,2013,517,10,243,5.0%,,
SAN MIGUEL,2013,957,23,448,4.1%,,
SAN RAMON,2013,622,13,482,4.6%,,
VITACURA,2013,297,18,494,1.6%,,
PUENTE ALTO,2013,2,871,91,207,3.1%,
PIRQUE,2013,159,2,722,5.8%,,
SAN JOSE DE MAIPO,2013,111,2,328,4.8%,,
COLINA,2013,805,24,826,3.2%,,
LAMPA,2013,439,12,640,3.5%,,
TILTIL,2013,118,2,755,4.3%,,
SAN BERNARDO,2013,1,551,48,533,3.2%,
BUIN,2013,558,16,240,3.4%,,
CALERA DE TANGO,2013,243,4,241,5.7%,,
PAINE,2013,315,11,641,2.7%,,
MELIPILLA,2013,945,22,365,4.2%,,
ALHUE,2013,16,884,1.8%,,,
CURACAVI,2013,187,5,91,3.7%,,
MARIA PINTO,2013,57,1,538,3.7%,,
SAN PEDRO,2013,34,1,222,2.8%,,
TALAGANTE,2013,672,16,895,4.0%,,
EL MONTE,2013,111,4,71,2.7%,,
ISLA DE MAIPO,2013,162,5,233,3.1%,,
PADRE HURTADO,2013,315,9,977,3.2%,,
PE�AFLOR,2013,573,13,822,4.1%,,
VALDIVIA,2013,731,26,550,2.8%,,
CORRAL,2013,25,825,3.0%,,,
LANCO,2013,110,3,337,3.3%,,
LOS LAGOS,2013,93,3,383,2.7%,,
MAFIL,2013,45,1,203,3.7%,,
MARIQUINA,2013,128,4,76,3.1%,,
PAILLACO,2013,123,3,561,3.5%,,
PANGUIPULLI,2013,190,6,711,2.8%,,
LA UNION,2013,167,7,682,2.2%,,
FUTRONO,2013,95,3,153,3.0%,,
LAGO RANCO,2013,68,1,622,4.2%,,
RIO BUENO,2013,129,5,200,2.5%,,
ARICA,2013,1,129,40,65,2.8%,
CAMARONES,2013,17,102,16.7%,,,
PUTRE,2013,5,249,2.0%,,,
GENERAL LAGOS,2013,0,71,0.0%,,,
IQUIQUE,2014,1,245,35,144,3.5%,
ALTO HOSPICIO,2014,774,20,813,3.7%,,
POZO ALMONTE,2014,110,2,533,4.3%,,
CAMI�A,2014,6,226,2.7%,,,
COLCHANE,2014,2,142,1.4%,,,
HUARA,2014,17,394,4.3%,,,
PICA,2014,35,808,4.3%,,,
ANTOFAGASTA,2014,2,456,64,585,3.8%,
MEJILLONES,2014,63,1,840,3.4%,,
SIERRA GORDA,2014,3,158,1.9%,,,
TALTAL,2014,52,2,438,2.1%,,
CALAMA,2014,1,73,32,325,3.3%,
OLLAG�E,2014,0,25,0.0%,,,
SAN PEDRO DE ATACAMA,2014,34,1,112,3.1%,,
TOCOPILLA,2014,134,4,837,2.8%,,
MARIA ELENA,2014,21,944,2.2%,,,
COPIAPO,2014,1,78,29,840,3.6%,
CALDERA,2014,113,3,84,3.7%,,
TIERRA AMARILLA,2014,108,2,363,4.6%,,
CHA�ARAL,2014,69,2,659,2.6%,,
DIEGO DE ALMAGRO,2014,90,3,106,2.9%,,
VALLENAR,2014,240,10,151,2.4%,,
ALTO DEL CARMEN,2014,26,738,3.5%,,,
FREIRINA,2014,23,1,3,2.3%,,
HUASCO,2014,55,1,626,3.4%,,
LA SERENA,2014,1,256,43,316,2.9%,
COQUIMBO,2014,1,14,33,520,3.0%,
ANDACOLLO,2014,42,1,714,2.5%,,
LA HIGUERA,2014,17,482,3.5%,,,
PAIGUANO,2014,41,626,6.5%,,,
VICU�A,2014,159,4,478,3.6%,,
ILLAPEL,2014,124,5,881,2.1%,,
CANELA,2014,18,1,207,1.5%,,
LOS VILOS,2014,88,3,418,2.6%,,
SALAMANCA,2014,121,4,627,2.6%,,
OVALLE,2014,616,21,47,2.9%,,
COMBARBALA,2014,46,2,11,2.3%,,
MONTE PATRIA,2014,141,4,959,2.8%,,
PUNITAQUI,2014,46,1,719,2.7%,,
RIO HURTADO,2014,14,625,2.2%,,,
VALPARAISO,2014,1,518,46,276,3.3%,
CASABLANCA,2014,156,4,307,3.6%,,
CONCON,2014,217,6,457,3.4%,,
JUAN FERNANDEZ,2014,5,127,3.9%,,,
PUCHUNCAVI,2014,51,2,207,2.3%,,
QUINTERO,2014,103,4,354,2.4%,,
VI�A DEL MAR,2014,1,507,49,588,3.0%,
ISLA DE PASCUA,2014,53,1,144,4.6%,,
LOS ANDES,2014,356,14,402,2.5%,,
CALLE LARGA,2014,67,2,9,3.3%,,
RINCONADA,2014,26,1,60,2.5%,,
SAN ESTEBAN,2014,54,1,336,4.0%,,
LA LIGUA,2014,124,5,942,2.1%,,
CABILDO,2014,76,3,973,1.9%,,
PAPUDO,2014,15,706,2.1%,,,
PETORCA,2014,24,1,477,1.6%,,
ZAPALLAR,2014,38,1,228,3.1%,,
QUILLOTA,2014,716,16,935,4.2%,,
CALERA,2014,259,10,293,2.5%,,
HIJUELAS,2014,51,2,328,2.2%,,
LA CRUZ,2014,59,1,421,4.2%,,
NOGALES,2014,124,3,752,3.3%,,
SAN ANTONIO,2014,470,15,995,2.9%,,
ALGARROBO,2014,94,1,981,4.7%,,
CARTAGENA,2014,151,3,300,4.6%,,
EL QUISCO,2014,48,1,595,3.0%,,
EL TABO,2014,34,674,5.0%,,,
SANTO DOMINGO,2014,44,1,836,2.4%,,
SAN FELIPE,2014,444,15,715,2.8%,,
CATEMU,2014,56,1,930,2.9%,,
LLAILLAY,2014,106,4,220,2.5%,,
PANQUEHUE,2014,38,1,56,3.6%,,
PUTAENDO,2014,52,1,921,2.7%,,
SANTA MARIA,2014,70,2,72,3.4%,,
QUILPUE,2014,1,79,27,753,3.9%,
LIMACHE,2014,222,7,318,3.0%,,
OLMUE,2014,83,2,105,3.9%,,
VILLA ALEMANA,2014,513,18,547,2.8%,,
RANCAGUA,2014,1,486,47,21,3.2%,
CODEGUA,2014,38,1,444,2.6%,,
COINCO,2014,32,868,3.7%,,,
COLTAUCO,2014,72,3,67,2.3%,,
DO�IHUE,2014,85,3,129,2.7%,,
GRANEROS,2014,272,7,78,3.8%,,
LAS CABRAS,2014,88,3,935,2.2%,,
MACHALI,2014,171,8,897,1.9%,,
MALLOA,2014,49,1,305,3.8%,,
MOSTAZAL,2014,101,3,216,3.1%,,
OLIVAR,2014,50,1,880,2.7%,,
PEUMO,2014,85,2,78,4.1%,,
PICHIDEGUA,2014,71,2,196,3.2%,,
QUINTA DE TILCOCO,2014,46,2,35,2.3%,,
RENGO,2014,350,10,562,3.3%,,
REQUINOA,2014,87,3,856,2.3%,,
SAN VICENTE,2014,257,8,944,2.9%,,
PICHILEMU,2014,83,2,366,3.5%,,
LA ESTRELLA,2014,0,230,0.0%,,,
LITUECHE,2014,18,934,1.9%,,,
MARCHIHUE,2014,26,793,3.3%,,,
NAVIDAD,2014,37,749,4.9%,,,
PAREDONES,2014,16,743,2.2%,,,
SAN FERNANDO,2014,477,16,10,3.0%,,
CHEPICA,2014,29,1,781,1.6%,,
CHIMBARONGO,2014,189,5,761,3.3%,,
LOLOL,2014,28,926,3.0%,,,
NANCAGUA,2014,64,2,588,2.5%,,
PALMILLA,2014,25,1,165,2.1%,,
PERALILLO,2014,27,1,502,1.8%,,
PLACILLA,2014,14,803,1.7%,,,
PUMANQUE,2014,1,247,0.4%,,,
SANTA CRUZ,2014,127,8,937,1.4%,,
TALCA,2014,1,137,45,364,2.5%,
CONSTITUCION,2014,303,8,673,3.5%,,
CUREPTO,2014,8,1,244,0.6%,,
EMPEDRADO,2014,25,667,3.7%,,,
MAULE,2014,83,3,683,2.3%,,
PELARCO,2014,39,1,3,3.9%,,
PENCAHUE,2014,21,919,2.3%,,,
RIO CLARO,2014,23,1,484,1.5%,,
SAN CLEMENTE,2014,149,5,503,2.7%,,
SAN RAFAEL,2014,8,1,66,0.8%,,
CAUQUENES,2014,173,7,413,2.3%,,
CHANCO,2014,22,1,284,1.7%,,
PELLUHUE,2014,15,1,70,1.4%,,
CURICO,2014,727,28,887,2.5%,,
HUALA�E,2014,36,1,584,2.3%,,
LICANTEN,2014,43,1,31,4.2%,,
MOLINA,2014,262,7,185,3.6%,,
RAUCO,2014,20,1,87,1.8%,,
ROMERAL,2014,55,2,74,2.7%,,
SAGRADA FAMILIA,2014,31,2,5,1.5%,,
TENO,2014,112,4,485,2.5%,,
VICHUQUEN,2014,8,581,1.4%,,,
LINARES,2014,585,19,358,3.0%,,
COLBUN,2014,119,2,932,4.1%,,
LONGAVI,2014,103,3,986,2.6%,,
PARRAL,2014,194,7,129,2.7%,,
RETIRO,2014,108,3,237,3.3%,,
SAN JAVIER,2014,216,8,471,2.5%,,
VILLA ALEGRE,2014,71,2,21,3.5%,,
YERBAS BUENAS,2014,59,1,863,3.2%,,
CONCEPCION,2014,1,439,41,990,3.4%,
CORONEL,2014,504,19,872,2.5%,,
CHIGUAYANTE,2014,377,14,3,2.7%,,
FLORIDA,2014,39,1,514,2.6%,,
HUALQUI,2014,108,3,212,3.4%,,
LOTA,2014,212,8,558,2.5%,,
PENCO,2014,130,5,706,2.3%,,
SAN PEDRO DE LA PAZ,2014,449,20,360,2.2%,,
SANTA JUANA,2014,74,2,296,3.2%,,
TALCAHUANO,2014,717,23,64,3.1%,,
TOME,2014,168,8,818,1.9%,,
HUALPEN,2014,289,12,453,2.3%,,
LEBU,2014,170,4,864,3.5%,,
ARAUCO,2014,164,6,566,2.5%,,
CA�ETE,2014,205,7,280,2.8%,,
CONTULMO,2014,55,1,112,4.9%,,
CURANILAHUE,2014,146,6,237,2.3%,,
LOS ALAMOS,2014,151,4,65,3.7%,,
TIRUA,2014,62,1,874,3.3%,,
LOS ANGELES,2014,1,130,39,31,2.9%,
ANTUCO,2014,28,647,4.3%,,,
CABRERO,2014,111,5,4,2.2%,,
LAJA,2014,104,4,628,2.2%,,
MULCHEN,2014,145,5,32,2.9%,,
NACIMIENTO,2014,102,5,287,1.9%,,
NEGRETE,2014,64,1,487,4.3%,,
QUILACO,2014,19,414,4.6%,,,
QUILLECO,2014,40,1,361,2.9%,,
SAN ROSENDO,2014,9,410,2.2%,,,
SANTA BARBARA,2014,86,2,613,3.3%,,
TUCAPEL,2014,59,2,21,2.9%,,
YUMBEL,2014,79,3,429,2.3%,,
ALTO BIOBIO,2014,53,1,105,4.8%,,
CHILLAN,2014,754,35,638,2.1%,,
BULNES,2014,112,3,902,2.9%,,
COBQUECURA,2014,14,652,2.1%,,,
COELEMU,2014,77,2,797,2.8%,,
COIHUECO,2014,82,3,758,2.2%,,
CHILLAN VIEJO,2014,148,4,474,3.3%,,
EL CARMEN,2014,60,2,214,2.7%,,
NINHUE,2014,21,844,2.5%,,,
�IQUEN,2014,31,1,418,2.2%,,
PEMUCO,2014,43,1,296,3.3%,,
PINTO,2014,64,1,799,3.6%,,
PORTEZUELO,2014,13,754,1.7%,,,
QUILLON,2014,52,2,109,2.5%,,
QUIRIHUE,2014,25,1,773,1.4%,,
RANQUIL,2014,20,889,2.2%,,,
SAN CARLOS,2014,185,9,60,2.0%,,
SAN FABIAN,2014,25,691,3.6%,,,
SAN IGNACIO,2014,45,2,323,1.9%,,
SAN NICOLAS,2014,54,2,273,2.4%,,
TREGUACO,2014,18,707,2.5%,,,
YUNGAY,2014,85,3,151,2.7%,,
TEMUCO,2014,1,641,53,649,0.03,3.0587709
CARAHUE,2014,151,4,702,0.03,3.211399405,
CUNCO,2014,82,3,4,0.03,2.729693742,
CURARREHUE,2014,59,1,128,0.05,5.230496454,
FREIRE,2014,125,3,589,0.03,3.482864308,
GALVARINO,2014,85,2,421,0.04,3.51094589,
GORBEA,2014,65,1,751,0.04,3.712164477,
LAUTARO,2014,172,6,392,0.03,2.690863579,
LONCOCHE,2014,108,3,891,0.03,2.775636083,
MELIPEUCO,2014,8,858,0.01,0.932400932,,
NUEVA IMPERIAL,2014,243,6,895,0.04,3.524292966,
PADRE LAS CASAS,2014,254,10,427,0.02,2.435983504,
PERQUENCO,2014,112,1,460,0.08,7.671232877,
PITRUFQUEN,2014,157,5,582,0.03,2.812611967,
PUCON,2014,115,4,728,0.02,2.432318105,
SAAVEDRA,2014,73,2,60,0.04,3.54368932,
TEODORO SCHMIDT,2014,51,1,928,0.03,2.645228216,
TOLTEN,2014,41,1,722,0.02,2.380952381,
VILCUN,2014,196,4,951,0.04,3.958796203,
VILLARRICA,2014,286,11,460,0.02,2.495636998,
CHOLCHOL,2014,72,2,349,0.03,3.0651341,
ANGOL,2014,320,10,988,0.03,2.912267929,
COLLIPULLI,2014,132,4,672,0.03,2.825342466,
CURACAUTIN,2014,121,3,13,0.04,4.015930966,
ERCILLA,2014,95,1,322,0.07,7.186081694,
LONQUIMAY,2014,69,1,799,0.04,3.835464147,
LOS SAUCES,2014,42,1,275,0.03,3.294117647,
LUMACO,2014,41,1,435,0.03,2.857142857,
PUREN,2014,65,1,968,0.03,3.302845528,
RENAICO,2014,64,1,539,0.04,4.158544509,
TRAIGUEN,2014,104,3,650,0.03,2.849315068,
VICTORIA,2014,146,6,155,0.02,2.37205524,
PUERTO MONTT,2014,1,552,45,484,3.4%,
CALBUCO,2014,187,6,17,3.1%,,
COCHAMO,2014,29,524,5.5%,,,
FRESIA,2014,92,2,262,4.1%,,
FRUTILLAR,2014,99,3,499,2.8%,,
LOS MUERMOS,2014,138,3,357,4.1%,,
LLANQUIHUE,2014,87,2,546,3.4%,,
MAULLIN,2014,69,2,46,3.4%,,
PUERTO VARAS,2014,262,8,337,3.1%,,
CASTRO,2014,249,9,762,2.6%,,
ANCUD,2014,421,8,141,5.2%,,
CHONCHI,2014,126,3,37,4.1%,,
CURACO DE VELEZ,2014,37,702,5.3%,,,
DALCAHUE,2014,50,2,157,2.3%,,
PUQUELDON,2014,0,447,0.0%,,,
QUEILEN,2014,25,880,2.8%,,,
QUELLON,2014,214,5,242,4.1%,,
QUEMCHI,2014,30,1,287,2.3%,,
QUINCHAO,2014,60,1,998,3.0%,,
OSORNO,2014,994,30,282,3.3%,,
PUERTO OCTAY,2014,77,1,536,5.0%,,
PURRANQUE,2014,148,3,702,4.0%,,
PUYEHUE,2014,76,1,995,3.8%,,
RIO NEGRO,2014,75,2,126,3.5%,,
SAN JUAN DE LA COSTA,2014,60,1,256,4.8%,,
SAN PABLO,2014,67,1,570,4.3%,,
CHAITEN,2014,19,684,2.8%,,,
FUTALEUFU,2014,9,438,2.1%,,,
HUALAIHUE,2014,46,1,804,2.5%,,
PALENA,2014,11,333,3.3%,,,
COIHAIQUE,2014,406,11,319,3.6%,,
LAGO VERDE,2014,1,114,0.9%,,,
AISEN,2014,198,4,491,4.4%,,
CISNES,2014,30,930,3.2%,,,
GUAITECAS,2014,5,264,1.9%,,,
COCHRANE,2014,25,615,4.1%,,,
O'HIGGINS,2014,1,65,1.5%,,,
TORTEL,2014,3,80,3.8%,,,
CHILE CHICO,2014,24,824,2.9%,,,
RIO IBA�EZ,2014,2,296,0.7%,,,
PUNTA ARENAS,2014,494,21,613,2.3%,,
LAGUNA BLANCA,2014,0,40,0.0%,,,
RIO VERDE,2014,0,2,0.0%,,,
SAN GREGORIO,2014,0,29,0.0%,,,
CABO DE HORNOS,2014,7,373,1.9%,,,
ANTARTICA,2014,0,6,0.0%,,,
PORVENIR,2014,17,970,1.8%,,,
PRIMAVERA,2014,0,64,0.0%,,,
TIMAUKEL,2014,0,9,0.0%,,,
NATALES,2014,86,3,516,2.4%,,
TORRES DEL PAINE,2014,0,34,0.0%,,,
SANTIAGO,2014,2,791,76,546,3.6%,
CERRILLOS,2014,356,11,370,3.1%,,
CERRO NAVIA,2014,450,14,129,3.2%,,
CONCHALI,2014,500,16,651,3.0%,,
EL BOSQUE,2014,831,30,421,2.7%,,
ESTACION CENTRAL,2014,721,19,891,3.6%,,
HUECHURABA,2014,271,11,345,2.4%,,
INDEPENDENCIA,2014,969,17,786,5.4%,,
LA CISTERNA,2014,1,275,26,556,4.8%,
LA FLORIDA,2014,1,929,67,43,2.9%,
LA GRANJA,2014,512,16,225,3.2%,,
LA PINTANA,2014,1,8,30,858,3.3%,
LA REINA,2014,452,18,542,2.4%,,
LAS CONDES,2014,907,36,410,2.5%,,
LO BARNECHEA,2014,511,18,103,2.8%,,
LO ESPEJO,2014,357,9,454,3.8%,,
LO PRADO,2014,285,9,725,2.9%,,
MACUL,2014,389,12,883,3.0%,,
MAIPU,2014,2,264,86,779,2.6%,
ÑUÑOA,2014,1,326,35,825,3.7%,
PEDRO AGUIRRE CERDA,2014,350,12,323,2.8%,,
PE�ALOLEN,2014,990,31,506,3.1%,,
PROVIDENCIA,2014,738,28,450,2.6%,,
PUDAHUEL,2014,836,28,686,2.9%,,
QUILICURA,2014,988,35,637,2.8%,,
QUINTA NORMAL,2014,900,22,176,4.1%,,
RECOLETA,2014,1,69,26,882,4.0%,
RENCA,2014,679,21,127,3.2%,,
SAN JOAQUIN,2014,490,9,137,5.4%,,
SAN MIGUEL,2014,904,22,950,3.9%,,
SAN RAMON,2014,567,13,73,4.3%,,
VITACURA,2014,379,18,840,2.0%,,
PUENTE ALTO,2014,2,757,90,672,3.0%,
PIRQUE,2014,139,2,700,5.1%,,
SAN JOSE DE MAIPO,2014,101,2,277,4.4%,,
COLINA,2014,898,25,967,3.5%,,
LAMPA,2014,481,13,166,3.7%,,
TILTIL,2014,164,2,739,6.0%,,
SAN BERNARDO,2014,1,391,48,660,2.9%,
BUIN,2014,505,16,214,3.1%,,
CALERA DE TANGO,2014,132,4,387,3.0%,,
PAINE,2014,406,11,692,3.5%,,
MELIPILLA,2014,696,22,170,3.1%,,
ALHUE,2014,27,875,3.1%,,,
CURACAVI,2014,135,5,66,2.7%,,
MARIA PINTO,2014,45,1,549,2.9%,,
SAN PEDRO,2014,24,1,220,2.0%,,
TALAGANTE,2014,534,17,119,3.1%,,
EL MONTE,2014,103,4,77,2.5%,,
ISLA DE MAIPO,2014,185,5,192,3.6%,,
PADRE HURTADO,2014,324,9,949,3.3%,,
PE�AFLOR,2014,474,13,796,3.4%,,
VALDIVIA,2014,666,26,259,2.5%,,
CORRAL,2014,16,819,2.0%,,,
LANCO,2014,108,3,231,3.3%,,
LOS LAGOS,2014,74,3,393,2.2%,,
MAFIL,2014,55,1,184,4.6%,,
MARIQUINA,2014,142,4,19,3.5%,,
PAILLACO,2014,120,3,530,3.4%,,
PANGUIPULLI,2014,157,6,660,2.4%,,
LA UNION,2014,200,7,501,2.7%,,
FUTRONO,2014,112,3,100,3.6%,,
LAGO RANCO,2014,55,1,562,3.5%,,
RIO BUENO,2014,135,5,15,2.7%,,
ARICA,2014,1,59,39,912,2.7%,
CAMARONES,2014,10,92,10.9%,,,
PUTRE,2014,7,226,3.1%,,,
GENERAL LAGOS,2014,0,58,0.0%,,,
IQUIQUE,2016,1,101,35,99,3.1%,
ALTO HOSPICIO,2016,603,21,539,2.8%,,
POZO ALMONTE,2016,73,2,717,2.7%,,
CAMI�A,2016,3,207,1.4%,,,
COLCHANE,2016,1,137,0.7%,,,
HUARA,2016,11,373,2.9%,,,
PICA,2016,23,907,2.5%,,,
ANTOFAGASTA,2016,2,96,64,886,3.2%,
MEJILLONES,2016,69,2,5,3.4%,,
SIERRA GORDA,2016,7,172,4.1%,,,
TALTAL,2016,64,2,419,2.6%,,
CALAMA,2016,920,32,119,2.9%,,
OLLAG�E,2016,0,27,0.0%,,,
SAN PEDRO DE ATACAMA,2016,34,1,292,2.6%,,
TOCOPILLA,2016,129,4,892,2.6%,,
MARIA ELENA,2016,34,913,3.7%,,,
COPIAPO,2016,685,29,548,2.3%,,
CALDERA,2016,86,3,146,2.7%,,
TIERRA AMARILLA,2016,89,2,379,3.7%,,
CHA�ARAL,2016,69,2,573,2.7%,,
DIEGO DE ALMAGRO,2016,53,2,898,1.8%,,
VALLENAR,2016,162,10,64,1.6%,,
ALTO DEL CARMEN,2016,22,769,2.9%,,,
FREIRINA,2016,32,1,30,3.1%,,
HUASCO,2016,41,1,654,2.5%,,
LA SERENA,2016,1,379,44,848,3.1%,
COQUIMBO,2016,1,30,34,102,3.0%,
ANDACOLLO,2016,26,1,772,1.5%,,
LA HIGUERA,2016,21,539,3.9%,,,
PAIGUANO,2016,17,606,2.8%,,,
VICU�A,2016,149,4,502,3.3%,,
ILLAPEL,2016,112,5,869,1.9%,,
CANELA,2016,11,1,241,0.9%,,
LOS VILOS,2016,84,3,425,2.5%,,
SALAMANCA,2016,76,4,655,1.6%,,
OVALLE,2016,492,21,134,2.3%,,
COMBARBALA,2016,35,1,886,1.9%,,
MONTE PATRIA,2016,131,4,978,2.6%,,
PUNITAQUI,2016,44,1,772,2.5%,,
RIO HURTADO,2016,18,584,3.1%,,,
VALPARAISO,2016,1,336,45,233,3.0%,
CASABLANCA,2016,119,4,305,2.8%,,
CONCON,2016,181,6,623,2.7%,,
JUAN FERNANDEZ,2016,5,143,3.5%,,,
PUCHUNCAVI,2016,70,2,237,3.1%,,
QUINTERO,2016,103,4,674,2.2%,,
VI�A DEL MAR,2016,1,423,48,831,2.9%,
ISLA DE PASCUA,2016,38,1,238,3.1%,,
LOS ANDES,2016,397,14,285,2.8%,,
CALLE LARGA,2016,67,2,78,3.2%,,
RINCONADA,2016,16,1,130,1.4%,,
SAN ESTEBAN,2016,46,1,234,3.7%,,
LA LIGUA,2016,119,5,821,2.0%,,
CABILDO,2016,89,3,933,2.3%,,
PAPUDO,2016,22,731,3.0%,,,
PETORCA,2016,24,1,466,1.6%,,
ZAPALLAR,2016,44,1,287,3.4%,,
QUILLOTA,2016,463,17,52,2.7%,,
CALERA,2016,310,10,195,3.0%,,
HIJUELAS,2016,57,2,308,2.5%,,
LA CRUZ,2016,40,1,429,2.8%,,
NOGALES,2016,109,3,656,3.0%,,
SAN ANTONIO,2016,377,15,759,2.4%,,
ALGARROBO,2016,81,2,13,4.0%,,
CARTAGENA,2016,124,3,580,3.5%,,
EL QUISCO,2016,77,1,773,4.3%,,
EL TABO,2016,32,782,4.1%,,,
SANTO DOMINGO,2016,38,2,6,1.9%,,
SAN FELIPE,2016,400,15,712,2.5%,,
CATEMU,2016,60,2,148,2.8%,,
LLAILLAY,2016,104,4,161,2.5%,,
PANQUEHUE,2016,32,1,91,2.9%,,
PUTAENDO,2016,42,1,882,2.2%,,
SANTA MARIA,2016,57,2,39,2.8%,,
QUILPUE,2016,951,27,214,3.5%,,
LIMACHE,2016,201,7,328,2.7%,,
OLMUE,2016,68,2,78,3.3%,,
VILLA ALEMANA,2016,522,19,97,2.7%,,
RANCAGUA,2016,1,239,46,313,2.7%,
CODEGUA,2016,39,1,421,2.7%,,
COINCO,2016,21,821,2.6%,,,
COLTAUCO,2016,82,2,954,2.8%,,
DO�IHUE,2016,55,3,244,1.7%,,
GRANEROS,2016,176,7,203,2.4%,,
LAS CABRAS,2016,105,4,37,2.6%,,
MACHALI,2016,241,9,702,2.5%,,
MALLOA,2016,47,1,341,3.5%,,
MOSTAZAL,2016,84,3,110,2.7%,,
OLIVAR,2016,53,2,88,2.5%,,
PEUMO,2016,54,1,970,2.7%,,
PICHIDEGUA,2016,44,2,206,2.0%,,
QUINTA DE TILCOCO,2016,46,2,81,2.2%,,
RENGO,2016,230,10,356,2.2%,,
REQUINOA,2016,71,3,626,2.0%,,
SAN VICENTE,2016,189,8,947,2.1%,,
PICHILEMU,2016,70,2,435,2.9%,,
LA ESTRELLA,2016,1,223,0.4%,,,
LITUECHE,2016,31,937,3.3%,,,
MARCHIHUE,2016,28,784,3.6%,,,
NAVIDAD,2016,17,716,2.4%,,,
PAREDONES,2016,9,700,1.3%,,,
SAN FERNANDO,2016,385,15,945,2.4%,,
CHEPICA,2016,22,1,676,1.3%,,
CHIMBARONGO,2016,158,5,595,2.8%,,
LOLOL,2016,31,939,3.3%,,,
NANCAGUA,2016,67,2,559,2.6%,,
PALMILLA,2016,20,1,144,1.7%,,
PERALILLO,2016,30,1,488,2.0%,,
PLACILLA,2016,12,794,1.5%,,,
